1NETVIEW|HD|RETAILSID|001|20200120021838|228399,,,,,,,,,,,,,,,,,
00|HSBA_FOBBC-HSIA-KIN_G019|U|OPTICAL|1|ON=KIN_G019,1,NTA/5.624,NPEZTKIN23,1,4/3.624,NB=NPEZTKIN23,1,1/2.2071,IBSE01.PUJ,1,14/0/3.2071,BM=IBSE01.PUJ,1,5/0/0.0,HGW21.BAT,1,3/1/7.0
00|HSBA_FOBBC-HSIA-KIN_G019|U|OPTICAL|1|ON=KIN_G019,1,NTA/5.624,NPEZTKIN23,1,4/3.624,NB=NPEZTKIN23,1,1/2.2071,IBSE01.PUJ,1,14/0/3.2071,BM=IBSE01.PUJ,1,6/0/0.0,HGW21.KLG,1,3/1/7.0
00|HSBA_FOBBC-HSIA-KIN_G020|U|OPTICAL|1|ON=KIN_G020,1,NTA/5.624,NPEZTKIN23,1,4/4.624,NB=NPEZTKIN23,1,1/2.2070,IBSE01.PUJ,1,14/0/3.2070,BM=IBSE01.PUJ,1,5/0/0.0,HGW21.BAT,1,3/1/7.0
00|HSBA_FOBBC-HSIA-KIN_G020|U|OPTICAL|1|ON=KIN_G020,1,NTA/5.624,NPEZTKIN23,1,4/4.624,NB=NPEZTKIN23,1,1/2.2070,IBSE01.PUJ,1,14/0/3.2070,BM=IBSE01.PUJ,1,6/0/0.0,HGW21.KLG,1,3/1/7.0
00|HSBA_FOBBC-HSIA-KIN_G021|U|OPTICAL|1|ON=KIN_G021,1,NTA/5.624,NPEZTKIN23,1,5/1.624,NB=NPEZTKIN23,1,1/2.2074,IBSE01.PUJ,1,14/0/3.2074,BM=IBSE01.PUJ,1,5/0/0.0,HGW21.BAT,1,3/1/7.0
00|HSBA_FOBBC-HSIA-KIN_G021|U|OPTICAL|1|ON=KIN_G021,1,NTA/5.624,NPEZTKIN23,1,5/1.624,NB=NPEZTKIN23,1,1/2.2074,IBSE01.PUJ,1,14/0/3.2074,BM=IBSE01.PUJ,1,6/0/0.0,HGW21.KLG,1,3/1/7.0
00|HSBA_FOBBC-HSIA-KIN_V1004|U|OPTICAL|1|IN=KIN_V1004,,0.624,NPEZTKIN21,1,7/27.624,NB=NPEZTKIN21,1,1/2.2271,IBSE01.PUJ,1,13/0/0.2271,BM=IBSE01.PUJ,1,5/0/0.0,HGW21.BAT,1,3/1/7.0
00|HSBA_FOBBC-HSIA-KIN_V1004|U|OPTICAL|1|IN=KIN_V1004,,0.624,NPEZTKIN21,1,7/27.624,NB=NPEZTKIN21,1,1/2.2271,IBSE01.PUJ,1,13/0/0.2271,BM=IBSE01.PUJ,1,6/0/0.0,HGW21.KLG,1,3/1/7.0
00|HSBA_FOBBC-HSIA-KIN_V1014|U|OPTICAL|1|IN=KIN_V1014,,0.624,NPEZTKIN21,1,8/45.624,NB=NPEZTKIN21,1,1/2.2269,IBSE01.PUJ,1,13/0/0.2269,BM=IBSE01.PUJ,1,5/0/0.0,HGW21.BAT,1,3/1/7.0
00|HSBA_FOBBC-HSIA-KIN_V1014|U|OPTICAL|1|IN=KIN_V1014,,0.624,NPEZTKIN21,1,8/45.624,NB=NPEZTKIN21,1,1/2.2269,IBSE01.PUJ,1,13/0/0.2269,BM=IBSE01.PUJ,1,6/0/0.0,HGW21.KLG,1,3/1/7.0
00|HSBA_FOBBC-HSIA-KIN_V1015|U|OPTICAL|1|IN=KIN_V1015,1,1/9/4.624,NPEZTKIN21,1,7/33.624,NB=NPEZTKIN21,1,1/2.2265,IBSE01.PUJ,1,13/0/0.2265,BM=IBSE01.PUJ,1,5/0/0.0,HGW21.BAT,1,3/1/7.0
00|HSBA_FOBBC-HSIA-KIN_V1015|U|OPTICAL|1|IN=KIN_V1015,1,1/9/4.624,NPEZTKIN21,1,7/33.624,NB=NPEZTKIN21,1,1/2.2265,IBSE01.PUJ,1,13/0/0.2265,BM=IBSE01.PUJ,1,6/0/0.0,HGW21.KLG,1,3/1/7.0
